date;index_value
2018-08-31;273,552 EUR
2018-09-28;275,549 EUR
2018-10-31;261,727 EUR
2018-11-30;264,887 EUR
2018-12-31;242,412 EUR
2019-01-31;260,294 EUR
2019-02-28;270,181 EUR
2019-03-29;277,594 EUR
2019-04-30;287,988 EUR
2019-05-31;272,918 EUR
2019-06-28;284,656 EUR
2019-07-31;292,592 EUR
2019-08-30;289,769 EUR
2019-09-30;298,935 EUR
2019-10-31;299,550 EUR
2019-11-29;311,536 EUR
2019-12-31;315,181 EUR
2020-01-31;317,305 EUR
2020-02-28;293,063 EUR
2020-03-31;254,556 EUR
2020-04-30;282,868 EUR
2020-05-29;291,987 EUR
2020-06-30;296,829 EUR
2020-07-31;295,419 EUR
2020-08-31;311,613 EUR
2020-09-30;306,840 EUR
2020-10-30;299,420 EUR
2020-11-30;328,853 EUR
2020-12-31;335,133 EUR
2021-01-29;334,165 EUR
2021-02-26;343,038 EUR
2021-03-31;366,063 EUR
2021-04-30;374,029 EUR
2021-05-31;373,568 EUR
2021-06-30;390,885 EUR
2021-07-30;397,920 EUR
2021-08-31;409,672 EUR
2021-09-30;399,947 EUR
2021-10-29;423,221 EUR
2021-11-30;425,586 EUR
2021-12-31;439,249 EUR
2022-01-31;422,020 EUR
2022-02-28;410,541 EUR
2022-03-31;425,807 EUR
2022-04-29;411,788 EUR
2022-05-31;405,830 EUR
2022-06-30;379,824 EUR
2022-07-29;420,354 EUR
2022-08-31;408,428 EUR
2022-09-30;380,254 EUR
2022-10-31;403,974 EUR
2022-11-30;414,732 EUR
2022-12-30;383,129 EUR
2023-01-31;403,136 EUR
2023-02-28;402,924 EUR
2023-03-31;405,453 EUR
2023-04-28;406,002 EUR
2023-05-31;416,238 EUR
2023-06-30;431,337 EUR
2023-07-31;441,157 EUR
2023-08-31;437,444 EUR
2023-09-29;429,089 EUR
2023-10-31;417,329 EUR
2023-11-30;442,189 EUR
2023-12-29;458,207 EUR
2024-01-31;471,561 EUR
2024-02-29;493,416 EUR
2024-03-29;510,286 EUR
2024-04-30;496,271 EUR
2024-05-31;510,622 EUR
2024-06-28;527,746 EUR
2024-07-31;531,909 EUR
2024-08-30;533,735 EUR
2024-09-30;539,054 EUR
2024-10-31;543,156 EUR
2024-11-29;583,919 EUR
2024-12-31;580,070 EUR
2025-01-31;598,201 EUR
2025-02-28;593,638 EUR
2025-03-31;546,100 EUR
2025-04-30;523,545 EUR
2025-05-30;555,268 EUR
2025-06-30;560,182 EUR
2025-07-31;581,918 EUR
2025-08-29;583,860 EUR
2025-09-30;600,321 EUR
2025-10-31;623,378 EUR
2025-11-28;621,718 EUR
2025-12-31;619,326 EUR
2026-01-30;625,096 EUR
2026-02-27;634,448 EUR
2026-03-31;608,730 EUR
2026-04-30;655,261 EUR
2026-05-29;688,670 EUR
